,iso3,analysis_type,hazard,aad
474,DOM,Prospective,Wind,15636.91
475,ECU,Prospective,Earthquake,31184.08
476,ECU,Prospective,Flood,19525.41
477,ECU,Prospective,Tsunami,196.48
478,GLP,Prospective,Earthquake,1183.24
479,GLP,Prospective,Storm,6205.12
480,GLP,Prospective,Tsunami,4.76
481,GLP,Prospective,Wind,4953.63
482,GRD,Prospective,Earthquake,88.8
483,GRD,Prospective,Storm,323.74
484,GRD,Prospective,Tsunami,0.15
485,GRD,Prospective,Wind,135.27
486,GTM,Prospective,Earthquake,25251.27
487,GTM,Prospective,Flood,10543.44
488,GTM,Prospective,Storm,42.61
489,GTM,Prospective,Tsunami,6.98
490,GTM,Prospective,Wind,1.98
491,GUF,Prospective,Earthquake,1.2
492,GUF,Prospective,Flood,832.06
493,GUF,Prospective,Tsunami,0.03
494,GUY,Prospective,Earthquake,0.38
495,GUY,Prospective,Flood,2663.46
496,GUY,Prospective,Tsunami,0.29
497,HND,Prospective,Earthquake,27439.64
498,HND,Prospective,Flood,14304.02
499,HND,Prospective,Storm,327.88
500,HND,Prospective,Tsunami,1.73
501,HND,Prospective,Wind,543.42
502,HTI,Prospective,Earthquake,22336.79
503,HTI,Prospective,Flood,10210.69
504,HTI,Prospective,Storm,3894.39
505,HTI,Prospective,Tsunami,52.46
506,HTI,Prospective,Wind,6588.24
507,JAM,Prospective,Earthquake,997.76
508,JAM,Prospective,Flood,478.78
509,JAM,Prospective,Storm,4203.43
510,JAM,Prospective,Tsunami,4.04
511,JAM,Prospective,Wind,7403.21
512,KNA,Prospective,Earthquake,184.54
513,KNA,Prospective,Storm,282.73
514,KNA,Prospective,Wind,316.25
515,LCA,Prospective,Earthquake,82.22
516,LCA,Prospective,Storm,809.97
517,LCA,Prospective,Tsunami,0.31
518,LCA,Prospective,Wind,408.62
519,MEX,Prospective,Earthquake,18922.48
520,MEX,Prospective,Flood,52076.07
521,MEX,Prospective,Storm,4588.01
522,MEX,Prospective,Tsunami,92.42
523,MEX,Prospective,Wind,7660.82
524,MSR,Prospective,Earthquake,19.22
525,MSR,Prospective,Storm,168.34
526,MSR,Prospective,Wind,58.47
527,MTQ,Prospective,Earthquake,460.55
528,MTQ,Prospective,Storm,1771.77
529,MTQ,Prospective,Tsunami,0.6
530,MTQ,Prospective,Wind,1743.79
531,NIC,Prospective,Earthquake,4108.97
532,NIC,Prospective,Flood,7716.64
533,NIC,Prospective,Storm,387.39
534,NIC,Prospective,Tsunami,2.83
535,NIC,Prospective,Wind,181.25
536,PAN,Prospective,Earthquake,1789.72
537,PAN,Prospective,Flood,1002.42
538,PAN,Prospective,Storm,0.04
539,PAN,Prospective,Tsunami,37.36
540,PER,Prospective,Earthquake,32713.92
541,PER,Prospective,Flood,13378.5
542,PER,Prospective,Tsunami,359.09
543,PRI,Prospective,Earthquake,2524.25
544,PRI,Prospective,Flood,144.74
545,PRI,Prospective,Storm,6108.19
546,PRI,Prospective,Tsunami,76.87
547,PRI,Prospective,Wind,42354.1
548,PRY,Prospective,Earthquake,1.44
549,PRY,Prospective,Flood,9570.34
550,SLV,Prospective,Earthquake,8719.82
551,SLV,Prospective,Flood,1835.2
552,SLV,Prospective,Storm,1.95
553,SLV,Prospective,Tsunami,12.22
554,SUR,Prospective,Earthquake,0.03
555,SUR,Prospective,Flood,2418.45
556,TCA,Prospective,Earthquake,0.66
557,TCA,Prospective,Tsunami,0.51
558,TCA,Prospective,Wind,537.4
559,TTO,Prospective,Earthquake,6413.3
560,TTO,Prospective,Flood,10.97
561,TTO,Prospective,Storm,214.56
562,TTO,Prospective,Tsunami,0.3
563,TTO,Prospective,Wind,28.01
564,URY,Prospective,Earthquake,0.01
565,URY,Prospective,Flood,1503.05
566,URY,Prospective,Tsunami,0.01
567,VCT,Prospective,Earthquake,48.12
568,VCT,Prospective,Storm,727.46
569,VCT,Prospective,Tsunami,0.36
570,VCT,Prospective,Wind,124.07
571,VEN,Prospective,Earthquake,26299.21
572,VEN,Prospective,Flood,7987.64
573,VEN,Prospective,Storm,295.7
574,VEN,Prospective,Tsunami,98.48
575,VEN,Prospective,Wind,25.19
576,VGB,Prospective,Earthquake,77.99
577,VGB,Prospective,Tsunami,0.06
578,VGB,Prospective,Wind,332.61
579,VIR,Prospective,Earthquake,127.38
580,VIR,Prospective,Storm,1735.8
581,VIR,Prospective,Tsunami,0.01
582,VIR,Prospective,Wind,1324.34
583,CAN,Prospective,Earthquake,1127.97
584,CAN,Prospective,Flood,12425.33
585,CAN,Prospective,Tsunami,13.69
586,CAN,Prospective,Wind,384.33
587,USA,Prospective,Earthquake,44226.91
588,USA,Prospective,Flood,40390.44
589,USA,Prospective,Storm,48982.03
590,USA,Prospective,Tsunami,708.51
591,USA,Prospective,Wind,72120.15
592,ARE,Prospective,Earthquake,3919.06
593,ARE,Prospective,Flood,7473.53
594,ARE,Prospective,Tsunami,1.63
595,BHR,Prospective,Earthquake,135.61
596,IRQ,Prospective,Earthquake,30894.14
597,IRQ,Prospective,Flood,45125.01
598,JOR,Prospective,Earthquake,1960.56
599,JOR,Prospective,Flood,108.12
600,KWT,Prospective,Earthquake,706.46
601,KWT,Prospective,Flood,3.69
602,LBN,Prospective,Earthquake,2333.2
603,LBN,Prospective,Flood,62.86
604,LBN,Prospective,Tsunami,92.31
605,OMN,Prospective,Earthquake,487.58
606,OMN,Prospective,Flood,188.49
607,OMN,Prospective,Storm,144.03
608,OMN,Prospective,Tsunami,8.2
609,PSE,Prospective,Earthquake,1343.97
610,PSE,Prospective,Flood,18.1
611,PSE,Prospective,Tsunami,6.89
612,QAT,Prospective,Earthquake,312.12
613,QAT,Prospective,Flood,0.08
614,SAU,Prospective,Earthquake,1435.28
615,SAU,Prospective,Flood,1326.8
616,SYR,Prospective,Earthquake,12251.07
617,SYR,Prospective,Flood,8007.96
618,SYR,Prospective,Tsunami,17.74
619,YEM,Prospective,Earthquake,11869.66
620,YEM,Prospective,Flood,9625.59
621,YEM,Prospective,Tsunami,0.07
622,ARG,Retrospective,Hydrometeorological,3279.820513
623,ARG,Retrospective,Landslides,4.884615385
624,ARG,Retrospective,Tectonic,1044.423077
625,ARG,Retrospective,Volcanic,0.064102564
626,ARG,Retrospective,Total,4329.192308
627,COM,Retrospective,Hydrometeorological,293.6666667
628,COM,Retrospective,Total,293.6666667
629,EGY,Retrospective,Landslides,597.75
630,EGY,Retrospective,Total,597.75
631,ETH,Retrospective,Hydrometeorological,6163.916667
632,ETH,Retrospective,Landslides,255.5
633,ETH,Retrospective,Tectonic,4.1111111110000005
634,ETH,Retrospective,Total,6423.527778
635,KEN,Retrospective,Hydrometeorological,8695.4
636,KEN,Retrospective,Landslides,99.8
637,KEN,Retrospective,Total,8795.2
638,MDG,Retrospective,Hydrometeorological,166208.6364
639,MDG,Retrospective,Total,166208.6364
640,MLI,Retrospective,Hydrometeorological,17453.884619999997
641,MLI,Retrospective,Total,17453.884619999997
642,MUS,Retrospective,Hydrometeorological,46.94736842
643,MUS,Retrospective,Landslides,1.789473684
644,MUS,Retrospective,Total,48.73684211
645,MOZ,Retrospective,Hydrometeorological,117819.8095
646,MOZ,Retrospective,Landslides,37.28571429
647,MOZ,Retrospective,Tectonic,71.38095238
648,MOZ,Retrospective,Total,117928.4762
649,MAR,Retrospective,Hydrometeorological,148.0
650,MAR,Retrospective,Total,148.0
651,NER,Retrospective,Hydrometeorological,35214.08333
652,NER,Retrospective,Total,35214.08333
653,SEN,Retrospective,Hydrometeorological,219.2
654,SEN,Retrospective,Total,219.2
655,SLE,Retrospective,Hydrometeorological,1641.1
656,SLE,Retrospective,Landslides,23.1
657,SLE,Retrospective,Total,1664.2
658,SYC,Retrospective,Hydrometeorological,0.884615385
659,SYC,Retrospective,Landslides,0.7692307690000001
660,SYC,Retrospective,Tectonic,5.692307692000001
661,SYC,Retrospective,Total,7.346153846
662,TGO,Retrospective,Hydrometeorological,13141.28571
663,TGO,Retrospective,Landslides,16.85714286
664,TGO,Retrospective,Total,13158.14286
665,TUN,Retrospective,Hydrometeorological,4.75
666,TUN,Retrospective,Landslides,1.7
667,TUN,Retrospective,Total,6.45
668,UGA,Retrospective,Hydrometeorological,9410.375
669,UGA,Retrospective,Landslides,685.4583332999999
670,UGA,Retrospective,Total,10095.83333
671,BLZ,Retrospective,Hydrometeorological,421.75
672,BLZ,Retrospective,Tectonic,1.25
673,BLZ,Retrospective,Total,423.0
674,BOL,Retrospective,Hydrometeorological,420.2674419
675,BOL,Retrospective,Landslides,72.45348837
676,BOL,Retrospective,Tectonic,94.63953488
677,BOL,Retrospective,Total,587.3604651
678,CHL,Retrospective,Hydrometeorological,2403.352273
679,CHL,Retrospective,Landslides,5.704545455
680,CHL,Retrospective,Tectonic,38021.04545
681,CHL,Retrospective,Volcanic,0.318181818
682,CHL,Retrospective,Total,40430.42045
683,COL,Retrospective,Hydrometeorological,10714.488640000001
684,COL,Retrospective,Landslides,1139.0454550000002
685,COL,Retrospective,Tectonic,4388.7727270000005
686,COL,Retrospective,Volcanic,348.7954545
687,COL,Retrospective,Total,16591.10227
688,CRI,Retrospective,Hydrometeorological,214.6777778
689,CRI,Retrospective,Landslides,10.02222222
690,CRI,Retrospective,Tectonic,482.03333330000004
691,CRI,Retrospective,Total,706.7333332999999
692,ECU,Retrospective,Hydrometeorological,675.1111111
693,ECU,Retrospective,Landslides,182.4555556
694,ECU,Retrospective,Tectonic,194.17777780000003
695,ECU,Retrospective,Volcanic,3.0333333330000003
696,ECU,Retrospective,Total,1054.777778
697,SLV,Retrospective,Hydrometeorological,1465.933333
698,SLV,Retrospective,Landslides,21.93333333
699,SLV,Retrospective,Tectonic,13980.85556
700,SLV,Retrospective,Volcanic,16.05555556
701,SLV,Retrospective,Total,15484.77778
702,GTM,Retrospective,Hydrometeorological,5905.62
703,GTM,Retrospective,Landslides,364.4
704,GTM,Retrospective,Tectonic,2234.74
705,GTM,Retrospective,Volcanic,59.96
706,GTM,Retrospective,Total,8564.72
707,GUY,Retrospective,Hydrometeorological,16.05
708,GUY,Retrospective,Tectonic,1.4
709,GUY,Retrospective,Total,17.45
710,HND,Retrospective,Hydrometeorological,5667.820513000001
711,HND,Retrospective,Landslides,99.19230769
712,HND,Retrospective,Tectonic,129.8333333
713,HND,Retrospective,Total,5896.846154
714,MEX,Retrospective,Hydrometeorological,31179.034880000003
715,MEX,Retrospective,Landslides,777.7906977000001
716,MEX,Retrospective,Tectonic,8944.616279
717,MEX,Retrospective,Volcanic,931.0581394999999
718,MEX,Retrospective,Total,41832.5
719,NIC,Retrospective,Hydrometeorological,2505.190476
720,NIC,Retrospective,Landslides,777.2619047999999
721,NIC,Retrospective,Tectonic,253.97619049999997
722,NIC,Retrospective,Total,3536.428571
723,PAN,Retrospective,Hydrometeorological,1431.586207
724,PAN,Retrospective,Landslides,5.844827586
725,PAN,Retrospective,Tectonic,91.79310345
726,PAN,Retrospective,Total,1529.224138
727,PRY,Retrospective,Hydrometeorological,2073.0
728,PRY,Retrospective,Total,2073.0
729,PER,Retrospective,Hydrometeorological,6175.488372
730,PER,Retrospective,Landslides,132.16279070000002
731,PER,Retrospective,Tectonic,14738.069769999998
732,PER,Retrospective,Total,21045.72093
733,URY,Retrospective,Hydrometeorological,275.7741935
734,URY,Retrospective,Total,275.7741935
735,VEN,Retrospective,Hydrometeorological,4031.655556
736,VEN,Retrospective,Landslides,629.3333332999999
737,VEN,Retrospective,Tectonic,29.6
738,VEN,Retrospective,Total,4690.588889
739,BTN,Retrospective,Hydrometeorological,5.125
740,BTN,Retrospective,Tectonic,1374.5
741,BTN,Retrospective,Total,1379.625
742,KHM,Retrospective,Hydrometeorological,3579.8947369999996
743,KHM,Retrospective,Total,3579.8947369999996
744,IDN,Retrospective,Hydrometeorological,51395.71875
745,IDN,Retrospective,Landslides,1476.90625
746,IDN,Retrospective,Tectonic,204103.4063
747,IDN,Retrospective,Volcanic,2.28125
748,IDN,Retrospective,Total,256978.3125
749,IRN,Retrospective,Hydrometeorological,4354.428571
750,IRN,Retrospective,Landslides,2.875
751,IRN,Retrospective,Tectonic,13023.30357
752,IRN,Retrospective,Total,17380.60714
753,JOR,Retrospective,Hydrometeorological,2.791666667
754,JOR,Retrospective,Total,2.791666667
755,LAO,Retrospective,Hydrometeorological,6271.294118
756,LAO,Retrospective,Total,6271.294118
757,LBN,Retrospective,Hydrometeorological,19.30434783
758,LBN,Retrospective,Landslides,9.108695652
759,LBN,Retrospective,Tectonic,1.47826087
760,LBN,Retrospective,Total,29.89130435
761,MDV,Retrospective,Hydrometeorological,2.8387096769999998
762,MDV,Retrospective,Tectonic,483.8387097
763,MDV,Retrospective,Total,486.6774194
764,NPL,Retrospective,Hydrometeorological,12811.202379999999
765,NPL,Retrospective,Landslides,724.8333332999999
766,NPL,Retrospective,Tectonic,3283.7380949999997
767,NPL,Retrospective,Total,16819.77381
768,PAK,Retrospective,Hydrometeorological,620551.2206
769,PAK,Retrospective,Landslides,131.9558824
770,PAK,Retrospective,Tectonic,69587.73529
771,PAK,Retrospective,Total,690270.9118
772,PSE,Retrospective,Hydrometeorological,10.43939394
773,PSE,Retrospective,Total,10.43939394
774,LKA,Retrospective,Hydrometeorological,8486.925
775,LKA,Retrospective,Landslides,41.6375
776,LKA,Retrospective,Tectonic,6257.45
777,LKA,Retrospective,Total,14786.0125
778,SYR,Retrospective,Hydrometeorological,132.2631579
779,SYR,Retrospective,Landslides,2.131578947
780,SYR,Retrospective,Total,134.3947368
781,TLS,Retrospective,Hydrometeorological,1058.5625
782,TLS,Retrospective,Landslides,45.9375
783,TLS,Retrospective,Total,1104.5
784,VNM,Retrospective,Hydrometeorological,127625.9286
785,VNM,Retrospective,Landslides,134.1666667
786,VNM,Retrospective,Total,127760.0952
787,YEM,Retrospective,Hydrometeorological,823.4333333
788,YEM,Retrospective,Landslides,3436.566667
789,YEM,Retrospective,Total,4260.0
790,IND,Retrospective,Hydrometeorological,30.83333333
791,IND,Retrospective,Landslides,6.166666667
792,IND,Retrospective,Total,37.0
793,ALB,Retrospective,Hydrometeorological,284.9090909
794,ALB,Retrospective,Landslides,191.8409091
795,ALB,Retrospective,Tectonic,92.84090909
796,ALB,Retrospective,Total,569.5909091
797,SRB,Retrospective,Hydrometeorological,483.75
798,SRB,Retrospective,Landslides,33.0
799,SRB,Retrospective,Tectonic,499.875
800,SRB,Retrospective,Total,1016.625
801,TUR,Retrospective,Hydrometeorological,21.2375
802,TUR,Retrospective,Landslides,60.3
803,TUR,Retrospective,Tectonic,1897.775
804,TUR,Retrospective,Total,1979.3125
805,ATG,Retrospective,Hydrometeorological,2.5
806,ATG,Retrospective,Total,2.5
807,DMA,Retrospective,Hydrometeorological,11.33333333
808,DMA,Retrospective,Landslides,0.833333333
809,DMA,Retrospective,Total,12.16666667
810,DOM,Retrospective,Hydrometeorological,206.1333333
811,DOM,Retrospective,Landslides,2.95
812,DOM,Retrospective,Total,209.08333330000002
813,JAM,Retrospective,Hydrometeorological,807.9117647
814,JAM,Retrospective,Landslides,0.558823529
815,JAM,Retrospective,Tectonic,0.19117647100000001
816,JAM,Retrospective,Total,808.6617647
817,GRD,Retrospective,Hydrometeorological,129.7692308
818,GRD,Retrospective,Total,129.7692308
819,LCA,Retrospective,Hydrometeorological,112.7142857
820,LCA,Retrospective,Total,112.7142857
821,VCT,Retrospective,Hydrometeorological,106.9264706
822,VCT,Retrospective,Landslides,1.970588235
823,VCT,Retrospective,Total,108.8970588
824,TTO,Retrospective,Hydrometeorological,3.947916667
825,TTO,Retrospective,Landslides,0.45833333299999995
826,TTO,Retrospective,Tectonic,0.15625
827,TTO,Retrospective,Volcanic,0.708333333
828,TTO,Retrospective,Total,5.270833333
829,IND,Retrospective,Hydrometeorological,157623.8977
830,IND,Retrospective,Tectonic,99.21590909
831,IND,Retrospective,Total,157723.1136
832,IND,Retrospective,Hydrometeorological,33115.86765
833,IND,Retrospective,Landslides,0.382352941
834,IND,Retrospective,Tectonic,4485.235294
835,IND,Retrospective,Total,37601.48529
836,OCEANIA,Retrospective,Hydrometeorological,11416.73611
837,OCEANIA,Retrospective,Landslides,87.75
838,OCEANIA,Retrospective,Tectonic,837.7916667000001
839,OCEANIA,Retrospective,Total,12342.27778
840,ALB,Hybrid,Total,10990.0
841,ARG,Hybrid,Total,42987.0
842,BLZ,Hybrid,Total,3301.0
843,BOL,Hybrid,Total,26393.0
844,BTN,Hybrid,Total,6741.0
845,KHM,Hybrid,Total,257875.0
846,CHL,Hybrid,Total,35509.0
847,COL,Hybrid,Total,104310.0
848,COM,Hybrid,Total,867.0
849,CRI,Hybrid,Total,3821.0
850,DMA,Hybrid,Total,1182.0
851,DOM,Hybrid,Total,19272.0
852,ECU,Hybrid,Total,32038.0
853,EGY,Hybrid,Total,28694.0
854,ETH,Hybrid,Total,110393.0
855,TLS,Hybrid,Total,1948.0
856,GRD,Hybrid,Total,565.0
857,GTM,Hybrid,Total,26655.0
858,GUY,Hybrid,Total,2737.0
859,HND,Hybrid,Total,27831.0
860,IDN,Hybrid,Total,355210.0
861,IRN,Hybrid,Total,81480.0
862,JAM,Hybrid,Total,11715.0
863,KEN,Hybrid,Total,57447.0
864,LAO,Hybrid,Total,81387.0
865,LBN,Hybrid,Total,2351.0
866,LCA,Hybrid,Total,889.0
867,LKA,Hybrid,Total,17827.0
868,MDG,Hybrid,Total,192497.0
869,MDV,Hybrid,Total,15.0
870,MEX,Hybrid,Total,83569.0
871,MLI,Hybrid,Total,51041.0
872,MOZ,Hybrid,Total,120291.0
873,MUS,Hybrid,Total,3320.0
874,NER,Hybrid,Total,69552.0
875,NIC,Hybrid,Total,9677.0
876,NPL,Hybrid,Total,85835.0
877,PAK,Hybrid,Total,516705.0
878,PAN,Hybrid,Total,2400.0
879,PER,Hybrid,Total,34820.0
880,PRY,Hybrid,Total,10147.0
881,SEN,Hybrid,Total,4738.0
882,SLE,Hybrid,Total,12906.0
883,SLV,Hybrid,Total,8847.0
884,SRB,Hybrid,Total,74121.0
885,SYR,Hybrid,Total,10523.0
886,TGO,Hybrid,Total,20753.0
887,TUR,Hybrid,Total,28209.0
888,UGA,Hybrid,Total,32833.0
889,URY,Hybrid,Total,1594.0
890,VCT,Hybrid,Total,789.0
891,VEN,Hybrid,Total,27483.0
892,VNM,Hybrid,Total,738498.0
893,YEM,Hybrid,Total,16938.0
